name;addr;rating;phone;more_phones;
Golos, караоке-ресторан;192238, Санкт-Петербург, Бухарестская ул., д. 96, — вход с пр. Славы;3.0;;;
Русская Чарка;191180, Санкт - Петербург,  наб. Реки Фонтанки, эт. 1;5.0;+7 812 666-66-66;+7 812 495-55-58;
Yam Kee;191025, Санкт-Петербург, Марата ул., д. 1;2.2;;;
Barberry;197046, Санкт-Петербург, Каменноостровский пр-кт, д. 10, — 2 этаж;0.0;;;
Сундук;191123, Санкт-Петербург, Фурштатская ул., д. 42;4.4;+7 495 150-09-72;+7 812 272-31-00, +7 812 272-66-33;
Тан Жен;199004, Санкт-Петербург, Большой В.О. пр-кт, д. 19, — цокольный этаж;3.8;;;
Стерео Суши;191025, Санкт-Петербург, Невский пр-кт, д. 112;4.3;+7 812 244-74-39;+7 812 244-73-39;
HIPSTER COFFEE;196084, Санкт-Петербург, Московский пр-кт, д. 65;0.0;;;
Евразия;197348, Санкт-Петербург, Коломяжский пр-кт, д. 15 к2, — 1 этаж;5.0;;;
Евразия;194156, Санкт-Петербург, Энгельса пр-кт, д. 33 к1, — 5 этаж;3.5;;;
Ресторан Гнеzдо;190031, Санкт-Петербург, Ефимова ул., д. 3;5.0;;;
Кафе-чайная "Магриб";Россия, г Санкт-Петербург, ул Караванная, д 3/35;0.0;;;
Васаби/Розарио;197022, Санкт-Петербург, Медиков пр-кт, д. 5, — 1 этаж;3.8;+7 812 244-74-01;+7 812 244-73-01;
KILLFISH;196084, Санкт-Петербург, Московский пр-кт, д. 109, — 2 этаж;0.0;;;
Стейк-хаус Монтана на Измайловском;190005, Санкт-Петербург, Измайловский пр-кт, д. 19;5.0;+7 495 150-09-72;+7 812 251-39-06, +7 812 666-66-66;
Сеть пивных ресторанов Толстый Фраер;Санкт-Петербург, Димитрова ул., д. 20;5.0;;;
Базилик;Санкт-Петербург, Малая Десятинная ул., д. 11;0.0;;;
KILLFISH;195220, Санкт-Петербург, Науки пр-кт, д. 17 к2, — 1 этаж;0.0;;;
OKINAVA;195298, Санкт-Петербург, Наставников пр-кт, д. 3 к1, — 1 этаж;4.5;;;
Ресторан «Бричмула»;197371, Санкт-Петербург, Комендантский пр-кт, д. 13;4.6;+7 495 150-09-72;+7 812 640-16-16;
За Сценой;190068, Санкт-Петербург, Театральная пл., д. 18/10;5.0;+7 812 327-41-42;+7 812 327-05-21;
БЮРО;197198, Санкт-Петербург, Рыбацкая ул., д. 4;5.0;;;
Евразия-Экспресс;190031, Санкт-Петербург, Гороховая ул., д. 45;0.0;+7 812 334-14-55;+7 812 325-60-60;
ЭльКафе;194044, Санкт-Петербург, Чугунная ул., д. 4а;0.0;+7 812 454-44-53;+7 812 915-37-43;
Аргви;191023, Санкт-Петербург, Реки Фонтанки наб., д. 9;0.0;;;
Crazy Hunter;192007, Санкт-Петербург, Расстанная ул., д. 2 к1, — 1 этаж;0.0;;;
Апшерон;190000, Санкт-Петербург, Казанская ул., д. 39, — 1 этаж;5.0;;;
Клуб-ресторан Кашалот;197343, Санкт-Петербург, Сердобольская ул., д. 7;4.5;;;
Авиатор ВВС;196143, Санкт-Петербург, Ленсовета ул., д. 36, — 2 этаж;0.0;;;
Felicita;194354, Санкт-Петербург, Энгельса пр-кт, д. 113 к1, — 1 этаж;0.0;;;
Изуми-СПб;197348, Санкт-Петербург, Богатырский пр-кт, д. 4;0.0;+7 812 970-71-91;+7 812 970-71-90;
Бархан;194156, Санкт-Петербург, Большой Сампсониевский пр-кт, д. 104;0.0;;;
Altezza;197136, Санкт-Петербург, Лахтинская ул., д. 16а, — БЦ Астра;4.3;+7 812 932-10-29;+7 812 600-22-04;
Евразия;190068, Санкт-Петербург, Садовая ул., д. 51, — 1 этаж;3.3;;;
Бавария;192071, Санкт-Петербург, Славы пр-кт, д. 15;5.0;;;
Мэй Ши Дзя;190013, Санкт-Петербург, Бронницкая ул., д. 13/19;5.0;;;
Авантаж;196066, Санкт-Петербург, Московский пр-кт, д. 212;0.0;+7 812 985-00-95;+7 812 335-55-51;
Saint Malo;196066, Санкт-Петербург, Московский пр-кт, д. 207;0.0;;;
На привале;194214, Санкт-Петербург, Жака Дюкло ул., д. 62;0.0;+7 921 402-44-43;+7 812 293-44-57;
Дары Скифов;197373, Санкт-Петербург, Авиаконструкторов пр-кт, д. 28 к2;0.0;;;
Хагакурэ;196240, Санкт-Петербург, Победы пл., д. 1, — 1 этаж;4.4;;;
Pizzerini;196070, Санкт-Петербург, Московский пр-кт, д. 165;0.0;;;
Евразия-Экспресс;198260, Санкт-Петербург, Ветеранов пр-кт, д. 101;0.0;+7 812 334-14-55;+7 812 325-60-60;
Барабек - Сытый Праздник;191028, Санкт-Петербург, Гагаринская ул., д. 26;0.0;+7 812 291-03-93;+7 812 969-51-93;
Марчеллис;196244, Санкт-Петербург, Космонавтов пр-кт, д. 39/27;0.0;;;
Kriek;197110, Санкт-Петербург, Колпинская ул., д. 15, — 1 этаж;0.0;;;
токио сити;197082, Санкт-Петербург, Богатырский пр-кт, д. 55;4.4;;;
Grizzly Bar;193318, Санкт-Петербург, Коллонтай ул., д. 3, — 4 этаж;0.0;;;
KARLOVY PIVOVARY;191023, Санкт-Петербург, Невский пр-кт, д. 60;0.0;+7 812 418-24-01;+7 812 611-11-10;
Sasha's bar;199397, Санкт-Петербург, Кораблестроителей ул., д. 30/8;0.0;+7 812 305-49-53;+7 812 600-45-00;
Рентэк;197348, Санкт-Петербург, Аэродромная ул., д. 4;0.0;+7 812 933-02-93;+7 812 602-25-29;
Гоу Гоа;Санкт-Петербург, Канала Грибоедова наб., д. 38;4.5;+7 495 150-09-72;+7 812 310-05-38;
Retropizza;197110, Санкт-Петербург, Большая Разночинная ул., д. 24;0.0;;;
Latte Tiramisu;198097, Санкт-Петербург, Стачек пр-кт, д. 41;0.0;;;
У Семеновского полка;191119, Санкт-Петербург, Загородный пр-кт, д. 41, — 43;0.0;;;
Петербургский банкет;195197, Санкт-Петербург, Полюстровский пр-кт, д. 87;0.0;+7 812 972-33-63;+7 812 327-33-85;
Sushi-Piter;196233, Санкт-Петербург, Витебский пр-кт, д. 75к1;0.0;;;
Уникальная Кальянная Ч;191014, Санкт-Петербург, Белинского ул., д. 6;5.0;;;
RIMINI;191123, Санкт-Петербург, Фурштатская ул., д. 46, — 1 этаж;0.0;+7 921 575-09-56;+7 812 272-86-18;
Густомаестро;191024, Санкт-Петербург, Дегтярная ул., д. 1;0.0;;;
Евразия-Экспресс;192238, Санкт-Петербург, Славы пр-кт, д. 40 к1;0.0;+7 812 334-14-55;+7 812 325-60-60;
TerritoriЯ;197101, Санкт-Петербург, Рентгена ул., д. 5а, — 1 этаж;0.0;+7 921 932-01-12;+7 812 363-18-47, +7 921 931-92-75;
Гаутама. Центр массажа и йоги;191040, Санкт-Петербург, Пушкинская ул., д. 10;4.8;;;
Алмаз, ООО Миндаль;196084, Санкт-Петербург, Московский пр-кт, д. 130а;0.0;;;
Мираж Синема;198260, Санкт-Петербург, Ветеранов пр-кт, д. 101;3.9;;;
Laudes;191002, Санкт-Петербург, Разъезжая ул., д. 3;5.0;;;
Жан-Жак Руссо;197136, Санкт-Петербург, Гатчинская ул., д. 2;4.2;+7 812 230-23-66;+7 812 232-99-81;
Ю Сад;199226, Санкт-Петербург, Кораблестроителей ул., д. 21 к1;0.0;;;
Ресторан Du Nord 1834 кондитерская;Санкт-Петербург, Лиговский пр-кт, д. 41/83;4.9;;;
Евразия-Экспресс;194352, Санкт-Петербург, Просвещения пр-кт, д. 53 к1;0.0;+7 812 334-14-55;+7 812 325-60-60;
Паб;191025, Санкт-Петербург, Невский пр-кт, д. 71;0.0;;;
Ип Антонов;195197, Санкт-Петербург, Полюстровский пр-кт, д. 28;0.0;;;
Флотилия;190020, Санкт-Петербург, Старо-Петергофский пр-кт, д. 13, — 1 этаж;3.3;+7 812 251-67-12;+7 812 251-48-73;
Две Палочки;199155, Санкт-Петербург, Одоевского ул., д. 34;4.3;;;
River Lounge;199034, Санкт-Петербург, Университетская наб., д. 15а;0.0;;;
Русская рыбалка;197110, Санкт-Петербург, Южная дор., д. 15;4.3;;;
2 Суши;192289, Санкт-Петербург, Складской проезд, д. 4;0.0;;;
O! Cuba;191002, Санкт-Петербург, Рубинштейна ул., д. 36, — цокольный этаж;0.0;;;
Штолле;191002, Санкт-Петербург, Владимирский пр-кт, д. 15;0.0;+7 812 924-83-27;+7 812 499-48-66;
Есенин;194354, Санкт-Петербург, Есенина ул., д. 1;0.0;+7 495 150-09-72;+7 812 692-92-18;
Free Style cafe;190121, Санкт-Петербург, Садовая ул., д. 101;0.0;;;
Петербург-сервис;188800, Ленинградская обл., Выборгский район, г. Выборг, Приморская ул., д. 3;0.0;;;
MiaSushi;196084, Санкт-Петербург, Московский пр-кт, д. 147;0.0;;;
Девятый Материк;191036, Санкт-Петербург, Восстания пл., д. 22;0.0;;;
Хаят;191014, Санкт-Петербург, Литейный пр-кт, д. 53;5.0;;;
Кроха;196070, Санкт-Петербург, Бассейная ул., д. 41;3.3;+7 812 388-51-10;+7 812 325-60-60;
Сардина;191025, Санкт-Петербург, Рубинштейна ул., д. 6/8, — 1 этаж;3.1;;;
ZимаЛеto;197022, Санкт-Петербург, Реки Большой Невки наб., д. 24, — Эт. 2 — 1;4.6;+7 921 942-74-73;+7 812 320-08-60;
Анна;190005, Санкт-Петербург, Обводного канала наб., д. 150;0.0;+7 812 252-54-91;+7 812 252-53-04;
KILLFISH;194354, Санкт-Петербург, Энгельса пр-кт, д. 113 к1;0.0;;;
Ями-ями;191023, Санкт-Петербург, Малая Садовая ул., д. 44;0.0;;;
Руставели;191186, Санкт-Петербург, Реки Мойки наб., д. 9, — 1 этаж;2.7;;;
Кияку;190005, Санкт-Петербург, 12-я Красноармейская ул., д. 1, — 1 этаж;0.0;;;
Нева-Ланч;196240, Санкт-Петербург, 5-й Предпортовый проезд, д. 3, — вход с ул. Костюшко;0.0;+7 812 716-86-70;+7 812 375-93-70;
FermA;194044, Санкт-Петербург, Финляндский пр-кт, д. 1, — 1 этаж;0.0;;;
Мацури;196084, Санкт-Петербург, Московский пр-кт, д. 73;0.0;+7 812 746-81-25;+7 812 252-77-44;
BRETZEL;191187, Санкт-Петербург, Чайковского ул., д. 4;4.0;;;
Гоголь;191186, Санкт-Петербург, Малая Морская ул., д. 8, — 1 этаж;0.0;+7 495 150-09-72;+7 812 312-60-97;
Un Bon;191014, Санкт-Петербург, Некрасова ул., д. 37;0.0;;;
Дон Корлеоне;197349, Санкт-Петербург, Ново-Никитинская ул., д. 5, — 2 этаж;0.0;;;
Браво-Лаудес;197341, Санкт-Петербург, Поликарпова аллея, д. 6 к2;0.0;+7 905 206-21-12;+7 921 971-48-17;
TerraVino;190000, Санкт-Петербург, Адмиралтейская наб., д. 12, — 14;0.0;;;
Линдфорс;197022, Санкт-Петербург, Каменноостровский пр-кт, д. 54, — 1 этаж;4.2;+7 812 327-52-85;+7 812 327-52-85, +7 812 234-97-79;
Иль Конти;199034, Санкт-Петербург, 17-я В.О. линия, д. 4;0.0;;;
Евразия;196210, Санкт-Петербург, Шереметьевская ул., д. 13;0.0;;;
Denikin;197046, Санкт-Петербург, Куйбышева ул., д. 28, — вход со двора;0.0;+7 495 150-09-72;+7 812 498-60-00;
Ponte alla Cascata;197227, Санкт-Петербург, Испытателей пр-кт, д. 30, — цокольный этаж;0.0;;;
Белый Лотос;191119, Санкт-Петербург, Коломенская ул., д. 23;0.0;;;
Якитория;191023, Санкт-Петербург, Островского пл., д. 5, — 1 этаж;4.3;;;
SПБ;192029, Санкт-Петербург, Бабушкина ул., д. 38 к2, — 3 этаж;1.8;;;
Орли;190121, Санкт-Петербург, Английский пр-кт, д. 48;5.0;+7 812 714-39-73;+7 812 714-39-73;
BullHouse;197110, Санкт-Петербург, Кемская ул., д. 1и;0.0;+7 495 150-09-72;+7 812 985-85-75;
Бриз, Красногвардейский район;195027, Санкт-Петербург, Большая Пороховская ул., д. 33, — 1 этаж;0.0;;;
Bali;197374, Санкт-Петербург, Савушкина ул., д. 98, —  2;4.2;;;
Палки;198330, Санкт-Петербург, Ленинский пр-кт, д. 87 к1, — 1 этаж;0.0;;;
SПБ;199004, Санкт-Петербург, 7-я В.О. линия, д. 42, — 3 этаж;3.8;;;
Хан;197373, Санкт-Петербург, Долгоозерная ул., д. 14;0.0;;;
Кавказ;195112, Санкт-Петербург, Стахановцев ул., д. 5, — 1 этаж;4.8;+7 495 150-09-72;+7 812 444-43-09;
Евразия-Экспресс;191025, Санкт-Петербург, Невский пр-кт, д. 96;0.0;+7 812 334-14-55;+7 812 325-60-60;
Евразия;191186, Санкт-Петербург, Канала Грибоедова наб., д. 22, — 1 этаж;3.6;;;
Трио;198329, Санкт-Петербург, Здоровцева ул., д. 14;0.0;+7 495 150-09-72;+7 812 959-59-39;
Чан Чунь;196158, Санкт-Петербург, Звездная ул., д. 1 лит А, — 1 этаж;0.0;;;
Япоша;195197, Санкт-Петербург, Кондратьевский пр-кт, д. 31 лит А, — вход с ул. Калинина площадь;5.0;;;
Волшебная ночь;193312, Санкт-Петербург, Коллонтай ул., д. 41, — 2 этаж;0.0;;;
Столовая на ул. Комиссара Смирнова, 7;194044, Санкт-Петербург, Комиссара Смирнова ул., д. 7;0.0;;;
Omega;197022, Санкт-Петербург, Каменноостровский пр-кт, д. 52;0.0;;;
Панорамный банкетный зал ALTEZZA;197136, Санкт-Петербург, Лахтинская ул., д. 55а;3.5;+7 812 932-10-29;+7 812 600-22-41;
Кальянная Smoke Wine Bar;Россия, г Санкт-Петербург, ул Киевская, д 3;0.0;;;
Суши-рия;191002, Санкт-Петербург, Владимирский пр-кт, д. 13/9;0.0;;;
Пивной Dom;197372, Санкт-Петербург, Богатырский пр-кт, д. 35 к1;0.0;;;
Евразия-Экспресс;195027, Санкт-Петербург, Большая Пороховская ул., д. 10;0.0;+7 812 334-14-55;+7 812 325-60-60;
Zombie Sushi;191002, Санкт-Петербург, Владимирский пр-кт, д. 15;0.0;;;
Трибуна;195257, Санкт-Петербург, Северный пр-кт, д. 63а;4.6;+7 495 150-09-72;+7 812 407-85-86;
Емеля;195009, Санкт-Петербург, Ленина пл., д. 6в;1.0;;;
Суши-хаус;199397, Санкт-Петербург, Кораблестроителей ул., д. 34;0.0;;;
Лео-Клуб;197227, Санкт-Петербург, Байконурская ул., д. 13 к2, — 2 этаж;3.1;;;
Quartier Gourmet;196084, Санкт-Петербург, Ново-Рыбинская ул., д. 19, — 21;0.0;;;
АФАЛИНА, Производственно-торговая Компания;195030, Санкт-Петербург, Революции ш., д. 84;0.0;;;
Дары Скифов;194044, Санкт-Петербург, Большой Сампсониевский пр-кт, д. 7.77;0.0;;;
Ресторан Volga-Volga («Волга-Волга»);197046, Санкт-Петербург, Петровская наб., д. 2к1;4.5;;;
Суши Рай;193079, Санкт-Петербург, Октябрьская наб., д. 50;0.0;;;
Тархун;191023, Санкт-Петербург, Караванная ул., д. 14;4.9;+7 495 150-09-72;+7 812 571-11-15, +7 921 377-65-25;
Сарбон;Россия, г Санкт-Петербург, ул Есенина, д 1 к 1;5.0;;;
Астерия;191023, Санкт-Петербург, Апраксин пер., д. 19, — 21;0.0;+7 812 335-68-88;+7 812 335-68-88;
Кастом;195426, Санкт-Петербург, Косыгина пр-кт, д. 7 к2, — 1 этаж;5.0;;;
Экспресс-Траттория;190031, Санкт-Петербург, Ефимова ул., д. 3, — ТК;0.0;;;
Caviar Bar;191186, Санкт-Петербург, Невский пр-кт, д. 36, — гостиница Европа;0.0;+7 812 329-66-51;+7 812 329-60-00;
Евразия-Экспресс;197342, Санкт-Петербург, Черной речки наб., д. 51 лит А;0.0;+7 812 334-14-55;+7 812 325-60-60;
Ресторан-клуб SNOB/СНОБ;191186, Санкт-Петербург, Большая Морская ул., д. 3;0.0;+7 965 777-90-89;+7 812 951-86-18;
ДоЗари;197198, Санкт-Петербург, Добролюбова пр-кт, д. 14а, — у Биржевого моста;4.8;+7 495 150-09-72;+7 812 928-60-70, +7 812 931-50-60;
СЫТИНЪ;190005, Санкт-Петербург, Измайловский пр-кт, д. 2а, — 1 этаж;0.0;+7 495 150-09-72;+7 812 251-39-51, +7 812 251-39-51, +7 812 920-14-54;
Дюжина;194156, Санкт-Петербург, Энгельса пр-кт, д. Мега Парнас;0.0;;;
Tarantino;197374, Санкт-Петербург, Яхтенная ул., д. 3;0.0;;;
Ресторан «Пури»;195426, Санкт-Петербург, Индустриальный пр-кт, д. 17;5.0;+7 495 150-09-72;+7 812 640-16-16;
Гранд Кафе;194021, Санкт-Петербург, Тореза пр-кт, д. 36;0.0;+7 812 552-82-14;+7 812 552-80-84;
Ламантин;192012, Санкт-Петербург, Обуховской Обороны пр-кт, д. 271, — 1 этаж;0.0;+7 812 313-80-21;+7 812 313-80-20;
Вацлав Замок;195067, Санкт-Петербург, Маршала Тухачевского ул., д. 41, — 1 этаж;0.0;;;
Five Points;191002, Санкт-Петербург, Ломоносова ул., д. 18;4.7;+7 495 150-09-72;+7 812 600-23-26;
Харбин;199155, Санкт-Петербург, Одоевского ул., д. 27;3.0;;;
Столовая на Большом Сампсониевском проспекте, 18;194044, Санкт-Петербург, Большой Сампсониевский пр-кт, д. 18, — 1 этаж;0.0;;;
Гонконг;190031, Санкт-Петербург, Садовая ул., д. 42, — 2 этаж;4.3;;;
Тепло;190000, Санкт-Петербург, Большая Морская ул., д. 45;4.6;;;
Евразия-Экспресс;191186, Санкт-Петербург, Большая Морская ул., д. 13;0.0;+7 812 334-14-55;+7 812 325-60-60;
Кочубей Клуб;191028, Санкт-Петербург, Фурштатская ул., д. 24;5.0;+7 921 903-07-19;+7 812 404-06-71;
Neverland;192071, Санкт-Петербург, Турку ул., д. 11А;0.0;;;
ресторан Лаваш;г. Санкт-Петербург,;3.3;;;
Большая кухня;191036, Санкт-Петербург, Лиговский пр-кт, д. 30литерА, — 5-й этаж ТРЦ Галерея;4.6;+7 495 150-09-72;+7 812 984-04-84;
Банзай;191015, Санкт-Петербург, Суворовский пр-кт, д. 51;0.0;;;
клубный ресторан Royal Beach;197110, Санкт-Петербург, Южная дор., д. 14;4.3;+7 812 666-66-66;+7 812 916-60-06;
ЯПОНА СУШИ;198261, Санкт-Петербург, Ветеранов пр-кт, д. 108;0.0;+7 812 755-44-25;+7 812 364-45-45;
ЕВРОШАР;194021, Санкт-Петербург, Политехническая ул., д. 1 к 2;0.0;;;
Розарио;197227, Санкт-Петербург, Комендантский пр-кт, д. 2, — 2 этаж;3.9;+7 812 244-74-10;+7 812 244-73-10;
RoyalPizza;190068, Санкт-Петербург, Садовая ул., д. 53, — 1 этаж;0.0;+7 812 314-43-88;+7 812 448-53-10;
Пестрая корова;194156, Санкт-Петербург, Энгельса пр-кт, д. 30, — 1 этаж;0.0;+7 812 294-32-18;+7 812 294-32-18;
Палки;198330, Санкт-Петербург, Ленинский пр-кт, д. 87;2.0;;;
Tokyo-City;194356, Санкт-Петербург, Энгельса пр-кт, д. 133литерА;4.0;;;
Щербет;191036, Санкт-Петербург, Восстания пл., д. 26;4.7;+7 812 272-76-13;+7 812 716-08-74;
Shiri;194214, Санкт-Петербург, Выборгское ш., д. 13, — 3 этаж;0.0;;;
Адмиралтейский;190031, Санкт-Петербург, Гороховая ул., д. 47;0.0;;;
Империя;195009, Санкт-Петербург, Арсенальная наб., д. 13 к1, — 1 этаж;0.0;+7 495 150-09-72;+7 921 885-44-53, +7 812 542-56-96;
Восточный уголок;190031, Санкт-Петербург, Гороховая ул., д. 52, — 1 этаж;4.3;;;
ВЕЛЬВЕТ КЕЙТЕРИНГ;Санкт-Петербург, Маршала Жукова пр-кт, д. 8;5.0;;;
Евразия;195197, Санкт-Петербург, Кондратьевский пр-кт, д. 49, — 1 этаж;0.0;;;
Старый город;192284, Санкт-Петербург, Загребский б-р, д. 21, — 1 этаж;2.5;+7 812 366-19-23;+7 812 940-25-58;
Сеть пивных ресторанов Толстый Фраер;Санкт-Петербург, Луначарского пр-кт, д. 46;2.7;;;
Достоевский;191002, Санкт-Петербург, Владимирский пр-кт, д. 15;5.0;+7 812 331-32-03;+7 812 331-32-00;
Емельян;191123, Санкт-Петербург, Потемкинская ул., д. 7, — 1 этаж;0.0;;;
OTIDO;199106, Санкт-Петербург, 19-я В.О. линия, д. 32 к6 лит Л, — 3 этаж;0.0;+7 812 677-55-02;+7 812 677-55-01, +7 812 677-55-01;
Евразия;197198, Санкт-Петербург, Большой П.С. пр-кт, д. 33, — 1 этаж;0.0;+7 812 232-56-41;+7 812 232-56-41;
Евразия;196140, Санкт-Петербург, Пулковское ш., д. 35, — 1;0.0;+7 812 332-47-25;+7 812 332-15-96;
ocean roll;194214, Санкт-Петербург, Выборгское ш., д. 23к2;0.0;;;
Батенин;194100, Санкт-Петербург, Александра Матросова ул., д. 20, — 2 этаж;0.0;+7 812 295-33-71;+7 921 329-97-39;
Papa Pizziano;195112, Санкт-Петербург, Новочеркасский пр-кт, д. 41б, — 1 этаж;4.0;;;
The maze cafe-bar;191014, Санкт-Петербург, Парадная ул., д. 3к2литерА;0.0;+7 495 150-09-72;+7 812 600-13-03;
Entree;190068, Санкт-Петербург, Никольская пл., д. 6, — 1 этаж;0.0;;;
Tandoor;190000, Санкт-Петербург, Адмиралтейский пр-кт, д. 10, — 1 этаж;4.8;+7 495 150-09-72;+7 812 312-53-10, +7 812 312-38-86;
Ресторан «Рибай»;191186, Санкт-Петербург, Казанская ул., д. 3;5.0;+7 495 150-09-72;+7 812 640-16-16;
Озеро Рица;190000, Санкт-Петербург, Реки Мойки наб., д. 62;5.0;;;
Chili Pizza;197372, Санкт-Петербург, Комендантская пл., д. 1 лит А, — 3 этаж;4.3;;;
Драго;197183, Санкт-Петербург, Приморский пр-кт, д. 15, — 1 этаж;0.0;+7 495 150-09-72;+7 812 430-69-84, +7 812 430-88-23;
Secret;197227, Санкт-Петербург, Испытателей пр-кт, д. 30;0.0;;;
Вагаси;192071, Санкт-Петербург, Славы пр-кт, д. 21;0.0;+7 812 244-77-77;+7 812 244-73-15;
Суши & Pizza mix;192284, Санкт-Петербург, Загребский б-р, д. 9;0.0;+7 812 982-08-86;+7 812 982-08-06;
Barashka;191119, Санкт-Петербург, Разъезжая ул., д. 33;0.0;;;
Tatin;197198, Санкт-Петербург, Большой П.С. пр-кт, д. 1;4.0;;;
Mama Roma;197374, Санкт-Петербург, Савушкина ул., д. 128 к1, — 1 этаж;4.0;;;
Scalini;190013, Санкт-Петербург, Клинский пр-кт, д. 26;0.0;;;
Евразия-Экспресс;196084, Санкт-Петербург, Московский пр-кт, д. 145;0.0;+7 812 334-14-55;+7 812 325-60-60;
Parmesan;198261, Санкт-Петербург, Ветеранов пр-кт, д. 109, — 1 этаж;0.0;+7 812 750-10-10;+7 812 364-50-50;
Евразия;190031, Санкт-Петербург, Гороховая ул., д. 45, — 1 этаж;0.0;;;
Чито-Гврито;196070, Санкт-Петербург, Бассейная ул., д. 37, — 1 этаж;0.0;+7 812 973-96-97;+7 812 944-20-40;
Гранд;191186, Санкт-Петербург, Большая Конюшенная ул., д. 10;5.0;+7 812 336-65-60;+7 812 571-90-64, +7 800 700-38-60, +7 812 312-12-06;
Евразия-Экспресс;188661, Ленинградская обл., Всеволожский район, д. Новое Девяткино, Главная ул., д. 60;0.0;+7 812 334-14-55;+7 812 325-60-60;
Bellini;199034, Санкт-Петербург, Университетская наб., д. 13, — 3 этаж;5.0;+7 812 327-89-42;+7 812 331-10-01;
Регата;197110, Санкт-Петербург, Вязовая ул., д. 4;4.0;;;
Евразия-Экспресс;198330, Санкт-Петербург, Ленинский пр-кт, д. 95 к1;0.0;+7 812 334-14-55;+7 812 325-60-60;
Цзао Ван;191024, Санкт-Петербург, Конная ул., д. 5;0.0;;;
Суши Дом;196620, Санкт-Петербург, г. Пушкин, Садовая (Гуммолосары) ул., д. 32;0.0;;;
Токио Сити;198330, Санкт-Петербург, Ленинский пр-кт, д. 93;4.7;;;
Фу Ченг;195298, Санкт-Петербург, Косыгина пр-кт, д. 34 к1, — 1 этаж;4.5;;;
Джигитерия;197198, Санкт-Петербург, Добролюбова пр-кт;0.0;;;
Вег.кафе "Рада&К" в культурном центре "Гаура";197136, Санкт-Петербург, Гатчинская ул., д. 28;0.0;;;
Da Vinci;190000, Санкт-Петербург, Малая Морская ул., д. 15, — 1 этаж;0.0;;;
Сатори;191025, Санкт-Петербург, Невский пр-кт, д. 71;0.0;;;
Евразия-Экспресс;192286, Санкт-Петербург, Славы пр-кт, д. 43;0.0;+7 812 334-14-55;+7 812 325-60-60;
Укроп-Лето 2;Санкт-Петербург, Восстания ул., д. 47;0.0;;;
Конфуций;190020, Санкт-Петербург, Нарвский пр-кт, д. 15, — 1 этаж;4.4;;;
Студия Питания;191025, Санкт-Петербург, Поварской пер., д. 17/12;0.0;;;
Pecorino;191014, Санкт-Петербург, Жуковского ул., д. 7, — 9;3.4;+7 495 150-09-72;+7 812 272-97-90, +7 812 995-45-44;
Q BAR CLUB;194356, Санкт-Петербург, Просвещения пр-кт, д. 19, — ТРК;0.0;;;
SATORI;198303, Санкт-Петербург, Ленинский пр-кт, д. 104, — 1 этаж;0.0;+7 495 150-09-72;+7 812 406-87-92, +7 952 287-20-37, +7 812 987-20-37;
Fra.telli;197227, Санкт-Петербург, Испытателей пр-кт, д. 30, — 3 этаж;0.0;;;
Алиби бар;198207, Санкт-Петербург, Ленинский пр-кт, д. 119к1;0.0;;;
Roll & Roll;194356, Санкт-Петербург, Энгельса пр-кт, д. 120, — 2 этаж;0.0;+7 812 331-61-37;+7 812 331-61-36;
СушиШоп;198207, Санкт-Петербург, Ленинский пр-кт, д. 116;0.0;;;
Pizzaroni;195265, Санкт-Петербург, Гражданский пр-кт, д. 104а;0.0;;;
123;197374, Санкт-Петербург, Савушкина ул., д. 126, — 2 этаж;0.0;;;
Кокабар;191025, Санкт-Петербург, Невский пр-кт, д. 50, — 1 этаж;0.0;+7 812 928-92-97;+7 812 314-54-22;
АРКА;191186, Санкт-Петербург, Большая Конюшенная ул., д. 27;0.0;+7 495 150-09-72;+7 911 000-81-88, +7 812 339-89-39;
Васабико;191119, Санкт-Петербург, Марата ул., д. 86, — ТРК Планета Нептун;0.0;;;
Тан Жен;190031, Санкт-Петербург, Гороховая ул., д. 48, — 1 этаж;4.6;;;
Фаста Паста;191014, Санкт-Петербург, Литейный пр-кт, д. 61;4.5;;;
Big Papa's Бар&Гриль;197375, Санкт-Петербург, Новоколомяжский пр-кт, д. 4к1;0.0;;;
Кавказ-Бар;191023, Санкт-Петербург, Караванная ул., д. 18, — 1 этаж;2.8;+7 495 150-09-72;+7 812 312-16-65, +7 812 315-30-72;
Люксор;Санкт-Петербург, Бухарестская ул., д. 30, — ТРК Континент;4.6;;;
Амато;190020, Санкт-Петербург, Старо-Петергофский пр-кт, д. 37;0.0;;;
Панорама;198332, Санкт-Петербург, Ленинский пр-кт, д. 100;0.0;;;
Wok House;197374, Санкт-Петербург, Приморский пр-кт, д. 137 к1;0.0;;;
Yumm pizza;192071, Санкт-Петербург, Славы пр-кт, д. 15к3;0.0;+7 812 676-86-97;+7 812 676-86-26;
Невский;191186, Санкт-Петербург, Невский пр-кт, д. 3;0.0;;;
Ла Перла;191119, Санкт-Петербург, Марата ул., д. 54/34литерА;5.0;+7 812 234-01-14;+7 812 764-44-13;
Сушимания;190031, Санкт-Петербург, Сенная пл., д. 13литерА;0.0;;;
Евразия-Экспресс;191186, Санкт-Петербург, Большая Конюшенная ул., д. 10;0.0;+7 812 334-14-55;+7 812 325-60-60;
Пробка на Добролюбова;197198, Санкт-Петербург, Добролюбова пр-кт, д. 6;5.0;;;
